# total_ram_gb=15.6
t,ram_gb,vram_gb
0.0,1.88,
1.0,1.91,
2.0,1.89,
3.0,1.9,
4.0,1.98,
5.0,1.98,
6.0,1.98,
7.0,2.12,
8.0,2.2,
9.0,2.28,
10.0,2.38,
11.0,2.44,
12.0,2.47,
13.0,2.54,
14.0,2.63,
15.0,2.6,
16.0,2.6,
17.0,2.6,
18.0,2.6,
19.0,2.6,
20.0,2.6,
21.0,2.6,
22.0,2.6,
23.0,2.6,
24.0,2.61,
25.0,2.61,
26.0,2.61,
27.0,2.61,
28.0,2.62,
29.0,2.61,
30.0,2.61,
31.0,2.48,
32.0,2.47,
33.0,2.47,
34.0,2.47,
35.0,2.47,
36.0,2.47,
37.0,2.46,
38.0,2.46,
39.0,2.47,
40.0,2.47,
41.0,2.46,
42.0,2.47,
43.0,2.46,
44.0,2.46,
45.0,2.46,
46.0,2.46,
47.0,2.46,
48.0,2.46,
49.0,2.46,
50.0,2.46,
51.0,2.46,
52.0,2.47,
53.0,2.47,
54.0,2.47,
55.0,2.46,
56.0,2.46,
57.0,2.46,
58.0,2.46,
59.0,2.46,
60.0,2.46,
61.0,2.46,
62.0,2.46,
63.0,2.46,
64.0,2.45,
65.0,2.45,
66.0,2.45,
67.0,2.45,
68.0,2.45,
69.0,2.45,
70.0,2.46,
71.0,2.45,
72.0,2.46,
73.0,2.46,
74.0,2.45,
75.0,2.45,
76.0,2.46,
