# total_ram_gb=15.6
t,ram_gb,vram_gb
0.0,0.82,
1.0,0.82,
2.0,0.83,
3.0,0.82,
4.0,0.82,
5.0,0.82,
6.0,0.82,
7.0,1.06,
8.0,1.35,
9.1,1.48,
10.1,1.49,
11.1,1.58,
12.1,1.61,
13.1,1.63,
14.1,1.63,
15.1,1.63,
16.1,1.63,
17.1,1.63,
18.1,1.63,
19.1,1.63,
20.1,1.63,
21.1,1.63,
22.1,1.63,
23.1,1.63,
24.1,1.63,
25.1,1.63,
26.1,1.63,
27.1,1.63,
28.1,1.63,
29.1,1.63,
30.2,1.63,
31.2,1.63,
32.2,1.63,
33.2,1.63,
34.2,1.63,
35.2,1.63,
36.2,1.63,
37.2,1.63,
38.2,1.63,
39.2,1.63,
40.2,1.63,
41.2,1.63,
42.2,1.63,
43.2,1.63,
44.2,1.63,
45.2,1.63,
46.2,1.63,
47.2,1.63,
48.2,1.63,
49.2,1.63,
50.2,1.63,
51.2,1.63,
52.2,1.63,
53.2,1.63,
54.2,1.63,
55.2,1.63,
56.3,1.63,
57.3,1.63,
58.3,1.63,
59.3,1.63,
60.3,1.63,
61.3,1.63,
62.3,1.63,
63.3,1.63,
64.3,1.63,
65.3,1.63,
66.3,1.63,
67.3,1.63,
68.3,1.63,
69.3,1.63,
70.3,1.63,
71.3,1.63,
72.3,1.63,
73.3,1.63,
74.3,1.63,
75.3,1.63,
76.3,1.63,
77.3,1.63,
78.3,1.63,
79.3,1.63,
