# total_ram_gb=31.3
t,ram_gb,vram_gb
0.0,1.01,0.11
1.0,1.01,0.11
2.1,1.01,0.11
3.1,1.01,0.11
4.1,1.01,0.11
5.2,1.01,0.11
6.2,1.49,0.11
7.3,1.68,0.22
8.3,1.92,0.22
9.3,2.08,0.22
10.3,2.4,0.22
11.4,2.41,0.22
12.4,2.42,0.22
13.4,2.51,0.22
14.4,2.63,0.22
15.5,2.51,0.22
16.5,2.44,0.22
17.5,2.48,0.22
18.6,2.6,0.22
19.6,2.66,0.22
20.6,2.59,0.22
21.6,2.45,0.22
22.7,2.57,0.22
23.7,2.68,0.22
24.7,2.56,0.22
25.7,2.68,0.22
26.8,2.47,0.22
27.8,2.53,0.22
28.8,2.64,0.22
29.9,2.76,0.22
30.9,2.49,0.22
31.9,2.53,0.22
33.0,2.65,0.22
34.0,2.76,0.22
35.0,2.64,0.22
36.0,2.67,0.22
37.1,2.51,0.22
38.1,2.51,0.22
39.1,2.71,0.22
40.2,3.26,0.22
41.2,4.19,0.22
42.3,4.78,0.22
43.3,5.11,1.13
44.3,5.12,1.78
45.4,5.3,2.5
46.4,5.49,2.5
47.4,5.59,2.5
48.4,5.5,2.5
49.5,5.5,2.5
50.5,5.5,2.5
51.5,5.5,2.5
52.5,5.5,2.5
53.6,5.5,2.5
54.6,5.5,2.5
55.6,5.5,2.5
56.7,5.5,2.5
57.7,5.52,2.5
58.7,5.58,2.5
59.8,5.62,2.5
60.8,5.58,2.5
61.8,5.68,2.5
62.8,5.82,2.5
63.9,5.96,2.5
64.9,6.12,2.5
65.9,6.06,2.5
67.0,6.06,2.5
68.0,6.06,2.5
69.0,6.06,2.5
70.0,6.06,2.5
71.1,6.06,2.5
72.1,6.06,2.5
73.1,6.06,2.5
74.2,6.06,2.5
75.2,6.06,2.5
76.2,6.06,2.5
