# total_ram_gb=31.3
t,ram_gb,vram_gb
0.0,1.06,0.11
1.0,1.58,0.11
2.1,1.7,0.22
3.1,1.7,0.22
4.1,1.7,0.22
5.2,1.7,0.22
6.2,1.94,0.22
7.2,2.09,0.22
8.2,2.13,0.22
9.3,2.13,0.22
10.3,2.25,0.22
11.3,2.24,0.22
12.3,2.25,0.22
13.4,2.23,0.22
14.4,2.26,0.22
15.4,2.34,0.22
16.4,2.35,0.22
17.5,2.39,0.22
18.5,2.41,0.22
19.5,2.42,0.22
20.6,2.44,0.22
21.6,2.45,0.22
22.6,2.45,0.22
23.6,2.47,0.22
24.7,2.49,0.22
25.7,2.51,0.22
26.7,2.49,0.22
27.8,2.47,0.22
28.8,2.5,0.22
29.8,2.6,0.22
30.9,2.66,0.22
31.9,2.75,0.22
32.9,2.78,0.22
34.0,2.82,0.22
35.0,2.86,0.22
36.0,2.74,0.22
37.1,3.04,0.22
38.1,3.13,0.22
39.2,3.76,0.22
40.2,3.14,0.22
41.3,3.14,0.22
42.3,3.14,0.22
43.3,3.14,0.22
44.4,3.14,0.22
45.4,3.14,0.22
46.5,3.14,0.22
47.5,3.18,0.22
48.6,3.19,0.22
49.6,3.19,0.22
50.6,3.19,0.22
51.7,3.19,0.22
52.7,3.21,0.22
53.8,3.21,0.22
54.8,3.76,0.88
55.8,4.24,2.94
56.9,4.24,3.79
57.9,4.24,3.85
58.9,4.24,3.97
59.9,4.24,4.04
61.0,4.24,4.04
62.0,4.24,4.19
63.0,4.27,1.0
64.0,6.28,1.66
65.1,4.99,1.69
66.1,5.09,1.69
67.1,4.96,1.69
68.2,5.0,1.85
69.2,5.05,1.85
70.2,5.81,0.51
71.2,5.77,0.51
72.3,5.77,0.51
