# total_ram_gb=31.3
t,ram_gb,vram_gb
0.0,5.68,0.51
1.0,5.68,0.51
2.1,5.68,0.51
3.1,5.68,0.51
4.1,5.68,0.51
5.1,5.68,0.51
6.2,5.68,0.51
7.2,5.68,0.51
8.2,1.36,0.11
9.2,1.5,0.11
10.3,1.62,0.11
11.3,1.93,0.22
12.3,2.18,0.22
13.3,2.34,0.22
14.4,2.83,0.22
15.4,2.9,0.22
16.4,2.94,0.22
17.5,2.94,0.22
18.5,2.94,0.22
19.5,2.94,0.22
20.5,2.94,0.22
21.6,2.94,0.22
22.6,2.94,0.22
23.6,2.94,0.22
24.6,2.94,0.22
25.7,2.94,0.22
26.7,2.94,0.22
27.7,2.69,0.22
28.8,2.85,0.22
29.8,2.7,0.22
30.8,2.75,0.22
31.9,2.75,0.22
32.9,2.75,0.22
33.9,2.75,0.22
34.9,2.75,0.22
36.0,2.75,0.22
37.0,2.77,0.22
38.0,2.77,0.22
39.1,3.16,0.94
40.1,3.64,2.94
41.1,3.64,3.75
42.2,3.64,3.88
43.2,3.64,4.04
44.2,3.64,4.07
45.3,3.68,1.0
46.3,5.69,1.54
47.3,4.34,1.69
48.4,4.36,1.69
49.4,4.36,1.69
50.4,4.36,1.69
51.4,4.36,1.69
52.5,4.36,1.69
53.5,4.39,2.49
54.5,4.39,3.51
55.6,4.4,3.51
56.6,4.4,3.51
57.6,4.4,3.51
58.6,4.4,3.51
59.7,4.4,3.51
60.7,4.44,3.51
61.7,4.45,3.51
62.7,4.45,3.51
63.8,4.45,3.51
64.8,4.41,3.51
65.8,4.38,3.51
66.8,4.38,3.51
67.9,4.38,3.51
68.9,4.38,3.51
