# total_ram_gb=7.0
t,ram_gb,vram_gb
0.0,0.58,
1.1,0.57,
2.3,0.57,
3.3,0.55,
4.3,0.54,
5.4,0.54,
6.5,0.54,
7.7,0.61,
8.8,0.7,
9.9,0.83,
11.1,0.9,
12.1,0.97,
13.2,1.02,
14.3,1.06,
15.4,1.05,
16.6,1.03,
17.6,1.03,
18.7,1.03,
19.8,1.03,
20.9,1.03,
21.9,1.03,
22.9,1.03,
23.9,1.03,
24.9,1.03,
26.1,1.03,
27.1,1.03,
28.3,1.03,
29.4,1.03,
30.4,1.03,
31.5,1.03,
32.6,1.03,
33.7,1.03,
34.8,1.03,
35.9,1.03,
37.1,1.03,
38.2,1.03,
39.3,1.03,
40.4,1.03,
41.5,1.03,
42.6,1.03,
43.6,1.03,
44.6,1.03,
45.7,1.03,
46.8,1.03,
47.8,1.03,
48.8,1.03,
50.0,1.03,
51.1,1.03,
52.3,1.03,
53.4,1.03,
54.6,1.03,
55.6,1.03,
56.7,1.03,
57.8,1.03,
58.9,1.03,
60.1,1.03,
61.2,1.03,
62.3,1.03,
63.5,1.03,
64.6,1.03,
65.7,1.03,
66.8,1.03,
67.9,1.03,
69.0,1.03,
70.2,1.03,
71.2,1.03,
72.2,1.03,
73.2,1.03,
74.3,1.03,
75.4,1.03,
76.5,1.03,
77.5,1.03,
