# total_ram_gb=16.0
t,ram_gb,vram_gb
0.0,4.71,
1.0,4.73,
2.0,4.87,
3.0,4.95,
4.0,4.88,
5.0,4.89,
6.0,4.91,
7.0,4.88,
8.0,4.85,
9.0,4.89,
10.0,4.92,
11.0,4.93,
12.0,5.04,
13.0,5.13,
14.0,5.13,
15.0,5.19,
16.0,5.26,
17.0,5.32,
18.0,5.36,
19.0,5.41,
20.0,5.42,
21.0,5.45,
22.0,5.48,
23.0,5.5,
24.0,5.59,
25.0,5.6,
26.0,5.63,
27.0,5.63,
28.0,5.63,
29.0,5.63,
30.0,5.64,
31.0,5.63,
32.0,5.62,
33.0,5.63,
34.0,5.63,
35.0,5.63,
36.0,5.63,
37.0,5.64,
38.0,5.63,
39.0,5.47,
40.0,5.47,
41.0,5.49,
42.0,5.5,
43.0,5.5,
44.0,5.5,
45.0,5.51,
46.0,5.51,
47.1,5.51,
48.1,5.51,
49.1,5.52,
50.1,5.57,
51.1,5.57,
52.1,5.49,
53.1,5.48,
54.1,5.48,
55.1,5.55,
56.1,5.55,
57.1,5.56,
58.1,5.54,
59.1,5.54,
60.1,5.52,
61.1,5.52,
62.1,5.5,
63.1,5.5,
64.1,5.5,
65.1,5.5,
66.1,5.51,
67.1,5.51,
68.1,5.5,
69.1,5.49,
70.1,5.49,
71.1,5.49,
72.1,5.49,
73.1,5.49,
74.1,5.5,
75.1,5.48,
76.1,5.48,
77.1,5.48,
78.1,5.48,
79.1,5.47,
80.1,5.47,
81.1,5.47,
82.1,5.46,
83.1,5.46,
84.1,5.47,
85.1,5.46,
86.1,5.47,
87.1,5.46,
