# total_ram_gb=16.0
t,ram_gb,vram_gb
0.0,4.21,
1.0,4.3,
2.0,4.39,
3.0,4.47,
4.0,4.41,
5.0,4.42,
6.0,4.41,
7.0,4.4,
8.0,4.38,
9.0,4.37,
10.0,4.42,
11.0,4.42,
12.0,4.55,
13.0,4.6,
14.0,4.63,
15.0,4.67,
16.0,4.84,
17.0,4.86,
18.0,4.88,
19.0,4.91,
20.0,5.0,
21.0,5.05,
22.0,5.05,
23.0,5.05,
24.0,5.05,
25.0,5.05,
26.0,5.05,
27.0,5.04,
28.0,5.03,
29.0,5.03,
30.0,5.02,
31.0,4.88,
32.0,4.87,
33.0,4.87,
34.0,4.87,
35.0,4.87,
36.0,4.87,
37.0,4.87,
38.0,4.86,
39.0,4.86,
40.0,4.86,
41.0,4.86,
42.0,4.86,
43.0,4.86,
44.0,4.86,
45.0,4.86,
46.0,4.86,
47.0,4.86,
48.0,4.86,
49.0,4.86,
50.0,4.86,
51.0,4.86,
52.0,4.86,
53.0,4.86,
54.0,4.86,
55.0,4.86,
56.0,4.86,
57.0,4.86,
58.0,4.86,
59.0,4.86,
60.0,4.83,
61.0,4.83,
62.0,4.83,
63.0,4.83,
64.0,4.83,
65.0,4.83,
66.0,4.83,
67.0,4.83,
68.0,4.82,
69.0,4.82,
70.0,4.82,
71.0,4.82,
72.0,4.82,
73.0,4.82,
74.0,4.82,
75.0,4.82,
76.0,4.82,
77.0,4.82,
78.0,4.81,
79.0,4.81,
80.0,4.81,
81.0,4.81,
82.0,4.81,
83.1,4.81,
