# total_ram_gb=31.9
t,ram_gb,vram_gb
0.0,0.85,
1.0,0.85,
2.0,0.85,
3.0,0.85,
4.1,0.85,
5.1,0.85,
6.1,0.85,
7.1,0.85,
8.1,0.92,
9.1,1.08,
10.2,1.31,
11.2,1.33,
12.2,1.37,
13.2,1.55,
14.8,1.62,
15.8,1.64,
16.8,1.68,
17.9,1.7,
18.9,1.71,
19.9,1.71,
20.9,1.87,
21.9,2.02,
22.9,2.03,
23.9,2.16,
25.0,2.17,
26.0,2.25,
27.0,2.37,
28.0,2.23,
29.0,2.26,
30.0,2.17,
31.1,2.28,
32.1,2.39,
33.1,2.51,
34.1,2.26,
35.1,2.05,
36.1,2.16,
37.2,2.28,
38.2,2.21,
39.2,2.26,
40.2,2.05,
41.2,2.07,
42.3,2.19,
43.3,2.3,
44.3,2.35,
45.3,2.05,
46.3,2.13,
47.3,2.25,
48.3,2.36,
49.4,2.23,
50.4,2.05,
51.4,2.06,
52.4,2.07,
53.4,2.07,
54.4,2.07,
55.4,2.08,
56.5,2.09,
57.5,2.34,
58.5,3.27,
59.5,3.38,
60.5,4.06,
61.6,4.42,
62.6,4.05,
63.6,4.28,
64.6,4.43,
65.6,3.89,
66.6,3.6,
67.7,3.18,
68.7,3.29,
69.7,3.4,
70.7,3.41,
71.7,3.5,
72.7,3.39,
73.7,3.4,
74.8,3.4,
75.8,3.4,
76.8,3.4,
77.8,3.4,
78.8,3.4,
79.9,3.4,
80.9,3.4,
81.9,3.4,
82.9,3.4,
83.9,3.4,
84.9,3.4,
85.9,3.4,
86.9,3.48,
88.0,3.59,
89.0,3.48,
90.0,3.54,
91.0,3.59,
92.0,3.59,
93.0,3.51,
94.1,3.56,
95.1,3.62,
96.1,3.7,
97.1,3.76,
98.1,3.86,
99.1,3.86,
100.1,3.88,
101.1,3.91,
102.2,3.93,
103.2,3.96,
104.2,3.98,
105.2,4.08,
106.2,3.92,
107.2,3.92,
108.2,3.92,
109.3,3.92,
110.3,3.92,
111.3,3.92,
112.3,3.92,
113.3,3.92,
114.4,3.92,
115.4,3.92,
116.4,3.92,
117.4,3.92,
