# total_ram_gb=31.9
t,ram_gb,vram_gb
0.0,4.07,
1.0,5.43,
2.0,5.65,
3.1,5.65,
4.1,5.65,
5.1,5.65,
6.1,5.65,
7.1,5.65,
8.1,5.68,
9.1,5.73,
10.1,5.74,
11.2,5.74,
12.2,5.72,
13.2,5.76,
14.2,5.75,
15.2,5.79,
16.2,5.79,
17.2,5.76,
18.3,5.77,
19.3,5.76,
20.3,5.66,
21.3,5.66,
22.3,5.72,
23.3,5.73,
24.3,5.74,
25.4,5.75,
26.4,5.81,
27.4,5.85,
28.4,5.97,
29.4,6.09,
30.4,6.21,
31.4,5.87,
32.5,5.97,
33.5,5.93,
34.5,5.9,
35.5,6.02,
36.5,5.87,
37.5,5.82,
38.5,6.0,
39.6,5.33,
40.6,5.33,
41.6,5.33,
42.6,5.34,
43.6,5.33,
44.6,5.33,
45.6,5.34,
46.7,5.34,
47.7,5.34,
48.7,5.35,
49.7,5.35,
50.7,5.34,
51.7,5.35,
52.7,5.35,
53.8,5.3,
54.8,5.3,
55.8,5.3,
56.8,5.3,
57.8,5.3,
58.8,5.3,
59.9,5.3,
60.9,5.3,
61.9,5.3,
62.9,5.31,
63.9,5.31,
64.9,5.31,
65.9,5.31,
66.9,5.31,
67.9,5.31,
68.9,5.31,
70.0,5.31,
71.0,5.82,
72.0,5.53,
73.0,5.64,
74.0,5.64,
75.0,5.64,
76.0,5.64,
77.0,5.64,
78.1,5.64,
79.1,5.64,
80.1,5.64,
81.1,5.64,
82.1,5.64,
83.2,5.64,
84.2,5.64,
85.2,5.64,
86.2,5.71,
87.2,6.81,
88.2,5.88,
89.3,5.94,
90.3,5.98,
91.3,5.72,
92.3,5.73,
93.3,5.94,
94.3,5.9,
95.3,5.95,
96.4,5.92,
97.4,5.94,
98.4,5.91,
99.4,5.92,
100.4,5.92,
101.4,5.91,
102.4,5.92,
103.4,5.92,
104.4,5.91,
105.5,5.94,
106.5,5.92,
107.5,5.94,
108.5,5.92,
109.5,5.93,
110.5,5.93,
111.5,6.0,
112.6,5.96,
113.6,5.96,
114.6,5.97,
115.6,5.95,
116.6,5.96,
117.6,5.96,
118.6,6.03,
119.6,5.98,
120.6,5.96,
121.6,5.98,
122.7,5.96,
123.7,5.97,
124.7,5.97,
125.7,6.0,
126.7,5.96,
127.7,5.97,
128.7,5.97,
129.7,6.02,
130.8,6.0,
131.8,6.0,
132.8,6.0,
133.8,6.03,
134.8,6.01,
135.8,6.0,
136.8,6.0,
137.8,6.05,
138.8,5.98,
139.9,5.97,
140.9,5.97,
141.9,6.05,
142.9,5.98,
143.9,5.97,
144.9,5.97,
145.9,5.92,
147.0,5.92,
148.0,5.92,
149.0,5.86,
150.0,6.98,
151.0,6.93,
152.0,6.93,
