# total_ram_gb=31.9
t,ram_gb,vram_gb
0.0,4.39,
1.0,4.4,
2.0,4.4,
3.1,4.4,
4.1,4.4,
5.1,4.4,
6.1,4.4,
7.1,0.95,
8.1,1.33,
9.2,1.36,
10.2,1.39,
11.2,1.58,
12.2,1.63,
13.2,1.66,
14.2,1.7,
15.3,1.72,
16.3,1.91,
17.3,2.04,
18.3,2.16,
19.3,2.55,
20.3,2.47,
21.4,2.58,
22.4,2.6,
23.4,2.6,
24.4,2.6,
25.4,2.6,
26.4,2.6,
27.5,2.6,
28.5,2.55,
29.5,2.6,
30.5,2.6,
31.5,2.6,
32.5,2.6,
33.6,2.6,
34.6,2.6,
35.6,2.6,
36.6,2.05,
37.6,2.11,
38.6,2.11,
39.7,2.12,
40.7,2.08,
41.7,2.08,
42.7,2.09,
43.7,2.1,
44.7,2.1,
45.8,2.1,
46.8,2.1,
47.8,2.1,
48.8,2.1,
49.8,2.1,
50.8,2.1,
51.9,2.1,
52.9,2.1,
53.9,2.12,
54.9,2.13,
55.9,2.13,
56.9,2.14,
57.9,3.21,
59.0,2.37,
60.0,2.81,
61.0,2.93,
62.0,2.93,
63.0,2.93,
64.1,2.93,
65.1,2.93,
66.1,2.93,
67.1,2.93,
68.1,2.93,
69.1,2.93,
70.1,4.99,
71.1,2.97,
72.1,3.15,
73.2,3.11,
74.2,3.03,
75.2,3.01,
76.2,3.04,
77.2,3.11,
78.2,3.11,
79.2,3.11,
80.3,3.11,
81.3,3.14,
82.3,3.25,
83.3,3.2,
84.3,3.2,
85.3,3.2,
86.3,3.26,
87.3,3.2,
88.4,3.2,
89.4,3.24,
90.4,3.21,
91.4,3.2,
92.4,3.22,
93.4,3.21,
94.4,3.21,
95.5,3.21,
96.5,3.26,
97.5,3.21,
98.5,3.21,
99.5,3.23,
100.5,3.24,
101.6,3.24,
102.6,3.24,
103.6,3.3,
104.6,3.26,
105.6,3.25,
106.6,3.26,
107.7,3.24,
108.7,3.25,
109.7,3.25,
110.7,3.33,
111.7,3.27,
112.7,3.25,
113.7,3.25,
114.7,3.25,
115.8,3.27,
116.8,3.25,
117.8,3.26,
118.8,3.23,
119.8,3.27,
120.8,3.25,
121.8,3.26,
122.8,3.28,
123.8,3.31,
124.9,3.28,
125.9,3.28,
126.9,3.24,
127.9,3.28,
128.9,3.25,
129.9,3.28,
130.9,3.29,
132.0,3.32,
133.0,3.29,
134.0,3.29,
135.0,3.29,
136.0,3.29,
137.0,3.32,
138.0,3.34,
139.0,3.34,
140.0,3.34,
141.1,3.34,
142.1,3.34,
143.1,3.34,
144.1,3.34,
145.1,3.41,
146.1,3.45,
147.1,3.45,
148.1,3.45,
149.1,3.45,
150.2,3.24,
151.2,3.21,
152.2,3.21,
153.2,3.21,
154.2,3.21,
