# total_ram_gb=16.0
t,ram_gb,vram_gb
0.0,4.65,
1.0,4.67,
2.0,4.75,
3.0,4.86,
4.0,4.84,
5.0,4.85,
6.0,4.91,
7.0,4.92,
8.0,4.92,
9.0,4.9,
10.0,4.95,
11.0,4.98,
12.0,5.35,
13.0,5.38,
14.0,5.42,
15.0,5.55,
16.0,5.62,
17.0,5.65,
18.0,5.7,
19.0,5.72,
20.0,5.8,
21.0,5.82,
22.0,5.84,
23.0,5.84,
24.0,5.84,
25.0,5.84,
26.0,5.84,
27.0,5.84,
28.0,5.82,
29.0,5.82,
30.0,5.82,
31.0,5.68,
32.0,5.67,
33.0,5.66,
34.0,5.66,
35.0,5.66,
36.0,5.66,
37.0,5.66,
38.0,5.66,
39.0,5.66,
40.0,5.66,
41.0,5.66,
42.0,5.65,
43.0,5.65,
44.0,5.65,
45.0,5.65,
46.0,5.65,
47.0,5.65,
48.0,5.65,
49.0,5.65,
50.0,5.65,
51.0,5.65,
52.0,5.65,
53.0,5.65,
54.0,5.65,
55.0,5.65,
56.0,5.65,
57.0,5.65,
58.0,5.65,
59.0,5.65,
60.0,5.63,
61.0,5.63,
62.0,5.63,
63.0,5.63,
64.0,5.63,
65.0,5.62,
66.0,5.62,
67.0,5.62,
68.0,5.62,
69.0,5.62,
70.1,5.62,
71.1,5.61,
72.1,5.61,
73.1,5.61,
74.1,5.61,
75.1,5.61,
76.1,5.61,
77.1,5.61,
78.1,5.61,
79.1,5.61,
80.1,5.6,
81.1,5.6,
82.1,5.6,
83.1,5.6,
84.1,5.62,
