# total_ram_gb=16.0
t,ram_gb,vram_gb
0.0,4.41,
1.0,4.47,
2.0,4.6,
3.0,4.71,
4.0,4.72,
5.0,4.73,
6.0,4.78,
7.0,4.79,
8.0,4.79,
9.0,4.79,
10.0,4.83,
11.0,4.84,
12.0,5.15,
13.0,5.25,
14.0,5.28,
15.2,5.37,
16.2,5.5,
17.2,5.56,
18.2,5.61,
19.2,5.62,
20.2,5.66,
21.2,5.72,
22.2,5.74,
23.2,5.73,
24.2,5.71,
25.2,5.7,
26.2,5.7,
27.2,5.7,
28.2,5.7,
29.2,5.7,
30.2,5.7,
31.2,5.55,
32.2,5.55,
33.2,5.54,
34.2,5.54,
35.2,5.54,
36.2,5.54,
37.2,5.54,
38.2,5.54,
39.2,5.54,
40.2,5.54,
41.2,5.54,
42.2,5.54,
43.2,5.54,
44.2,5.54,
45.2,5.54,
46.2,5.54,
47.2,5.54,
48.2,5.54,
49.2,5.54,
50.2,5.55,
51.2,5.55,
52.2,5.55,
53.2,5.55,
54.2,5.57,
55.2,5.57,
56.2,5.57,
57.2,5.57,
58.2,5.57,
59.2,5.57,
60.2,5.55,
61.2,5.55,
62.2,5.57,
63.2,5.54,
64.2,5.54,
65.2,5.53,
66.2,5.53,
67.2,5.53,
68.2,5.53,
69.2,5.53,
70.2,5.53,
71.2,5.52,
72.3,5.52,
73.3,5.52,
74.3,5.52,
75.3,5.52,
76.3,5.52,
77.3,5.52,
78.3,5.52,
79.3,5.52,
80.3,5.53,
81.3,5.52,
82.3,5.52,
83.3,5.52,
84.3,5.54,
