# cpu_count=24,total_ram_gb=30.0
t,cpu_cores,ram_gb,gpu_pct
0.2,10.27,13.93,0.0
1.6,13.03,13.94,0.0
2.9,12.53,13.99,0.0
4.3,15.14,14.03,0.0
5.6,14.42,14.07,0.0
7.0,11.71,14.09,0.0
8.3,10.87,14.28,0.0
9.7,10.61,14.33,0.0
11.1,13.27,14.36,0.0
12.4,10.49,14.37,0.0
13.9,9.38,14.41,0.0
15.2,11.59,14.43,0.0
16.5,15.34,14.43,0.0
17.9,10.08,14.43,0.0
19.2,12.24,14.45,0.0
20.6,10.44,14.49,0.0
22.0,10.99,14.51,0.0
23.3,11.11,14.5,0.0
24.7,11.88,14.51,0.0
26.1,11.35,14.54,0.0
27.4,11.93,14.57,0.0
28.8,11.64,14.61,0.0
30.1,11.3,14.63,0.0
31.4,12.41,14.65,0.0
32.8,11.64,14.65,0.0
34.1,12.29,14.68,0.0
35.5,10.08,14.7,0.0
36.9,14.06,14.72,0.0
38.3,12.84,14.76,0.0
39.6,13.51,14.78,0.0
41.1,10.37,14.78,0.0
42.4,13.2,14.78,0.0
43.8,9.72,14.77,0.0
45.1,10.32,14.81,0.0
46.5,10.68,14.81,0.0
47.8,11.88,14.79,0.0
49.2,9.58,14.82,0.0
50.5,9.1,14.81,0.0
51.8,10.49,14.8,0.0
53.2,12.31,14.82,0.0
54.6,13.54,14.83,0.0
55.9,10.1,14.81,0.0
57.3,11.14,14.85,0.0
58.6,13.15,14.84,0.0
60.0,12.29,14.85,0.0
61.4,11.69,14.85,0.0
62.8,11.76,14.88,0.0
64.1,12.84,14.9,0.0
65.5,14.4,14.8,0.0
66.8,10.06,14.39,0.0
68.1,14.9,14.46,0.0
69.5,13.2,14.71,0.0
70.8,11.88,14.77,0.0
72.2,12.38,14.8,0.0
73.5,11.62,14.8,0.0
74.9,11.88,14.81,0.0
76.2,13.94,14.82,0.0
77.5,11.4,14.83,0.0
78.9,11.83,14.84,0.0
80.2,11.3,14.87,0.0
81.6,10.34,14.88,0.0
82.9,10.18,14.88,0.0
84.3,12.58,14.91,0.0
85.7,11.47,14.94,0.0
87.0,10.8,14.95,0.0
88.3,10.2,14.96,0.0
89.7,12.17,14.97,0.0
91.0,12.17,15.0,0.0
92.3,13.2,14.99,0.0
93.7,12.58,15.02,0.0
95.1,12.05,15.08,0.0
96.5,15.1,15.07,0.0
97.8,9.46,15.07,0.0
99.2,14.83,15.01,0.0
100.5,12.24,14.38,0.0
101.9,12.1,14.43,0.0
103.2,11.26,14.53,0.0
104.6,10.7,14.55,0.0
105.9,11.3,14.55,0.0
107.3,22.03,14.55,0.0
108.6,8.38,14.53,0.0
110.0,12.29,14.55,0.0
111.3,10.9,14.55,0.0
112.6,10.63,14.55,0.0
113.9,11.35,14.55,0.0
115.3,15.05,14.55,0.0
116.6,9.89,14.55,0.0
117.9,13.03,14.5,0.0
119.2,10.56,14.42,0.0
120.6,11.09,14.43,0.0
121.9,11.02,14.42,0.0
123.2,9.24,14.42,0.0
124.5,12.0,14.42,0.0
125.8,8.54,14.42,0.0
127.1,8.88,14.42,0.0
128.5,10.32,14.51,0.0
129.8,11.71,14.47,0.0
