# total_ram_gb=31.9
t,ram_gb,vram_gb
0.0,0.88,
1.0,0.89,
2.0,0.89,
3.0,0.89,
4.0,0.89,
5.1,0.89,
6.1,0.89,
7.1,0.89,
8.1,0.96,
9.1,1.14,
10.1,1.36,
11.2,1.4,
12.2,1.43,
13.2,1.48,
14.4,1.56,
15.4,1.72,
16.4,1.76,
17.5,1.78,
18.5,2.0,
19.5,2.08,
20.5,2.09,
21.5,2.12,
22.5,2.15,
23.5,2.27,
24.6,2.39,
25.6,2.44,
26.6,2.13,
27.6,2.21,
28.6,2.32,
29.6,2.38,
30.7,2.13,
31.7,2.19,
32.7,2.31,
33.7,2.36,
34.7,2.29,
35.7,2.18,
36.8,2.16,
37.8,2.28,
38.8,2.4,
39.8,2.4,
40.8,2.13,
41.8,2.25,
42.9,2.37,
43.9,2.24,
44.9,2.35,
45.9,2.14,
46.9,2.15,
47.9,2.15,
49.0,2.18,
50.0,2.18,
51.0,2.76,
52.0,3.35,
53.0,3.88,
54.1,4.5,
55.1,4.14,
