# cpu_count=24,total_ram_gb=30.0
t,cpu_cores,ram_gb,gpu_pct
0.1,11.33,14.44,0.0
1.5,9.89,14.28,0.0
2.8,10.87,14.25,0.0
4.1,14.9,14.23,0.0
5.5,12.94,14.38,0.0
6.8,10.75,14.4,0.0
8.2,11.3,14.41,0.0
9.5,10.1,14.43,0.0
10.8,11.57,14.44,0.0
12.1,9.82,14.44,0.0
13.5,9.5,14.47,0.0
14.8,13.06,14.47,0.0
16.1,10.7,14.47,0.0
17.5,9.86,14.56,0.0
18.8,10.73,14.82,0.0
20.1,12.07,14.87,0.0
21.5,12.86,14.88,0.0
22.8,9.62,14.91,0.0
24.1,12.65,14.91,0.0
25.5,11.78,14.9,0.0
26.8,10.3,14.91,0.0
28.2,12.17,14.94,0.0
29.5,14.11,14.94,0.0
30.9,11.76,14.96,0.0
32.2,9.74,14.98,0.0
33.6,13.27,14.48,0.0
34.9,11.81,14.52,0.0
36.2,10.01,14.81,0.0
37.5,12.29,14.88,0.0
38.9,11.64,14.87,0.0
40.2,13.7,14.91,0.0
41.5,12.0,14.89,0.0
42.8,12.96,14.91,0.0
44.1,11.5,14.85,0.0
45.5,12.86,14.88,0.0
46.8,10.56,14.89,0.0
48.1,13.06,14.9,0.0
49.5,10.9,14.91,0.0
50.8,11.54,14.44,0.0
52.1,12.86,14.64,0.0
53.5,9.91,14.81,0.0
54.8,12.84,14.81,0.0
56.2,12.77,14.83,0.0
57.5,10.7,14.83,0.0
58.9,12.55,14.83,0.0
60.3,14.06,14.86,0.0
61.6,12.31,14.86,0.0
63.0,13.01,14.9,0.0
64.3,13.66,14.91,0.0
65.6,11.88,14.9,0.0
67.0,12.43,14.59,0.0
68.3,9.53,14.42,0.0
69.7,9.84,14.42,0.0
71.0,10.1,14.43,0.0
72.3,12.41,14.43,0.0
73.7,13.51,14.4,0.0
75.1,10.87,14.4,0.0
76.4,14.04,14.4,0.0
77.7,10.42,14.4,0.0
79.1,10.18,14.4,0.0
80.4,11.3,14.4,0.0
81.7,11.06,14.4,0.0
83.0,10.42,14.41,0.0
84.4,9.55,14.49,0.0
85.7,11.35,14.43,0.0
