# total_ram_gb=31.9
t,ram_gb,vram_gb
0.0,4.06,
1.0,5.42,
2.0,5.78,
3.0,5.78,
4.1,5.78,
5.1,5.78,
6.1,5.78,
7.1,5.78,
8.1,5.84,
9.1,5.88,
10.1,5.85,
11.1,5.85,
12.2,5.93,
13.2,6.04,
14.2,6.16,
15.2,5.88,
16.2,5.87,
17.2,5.87,
18.3,5.9,
19.3,5.92,
20.3,5.79,
21.3,5.85,
22.3,5.84,
23.3,5.84,
24.3,5.96,
25.4,5.85,
26.4,5.95,
27.4,6.07,
28.4,6.19,
29.4,6.3,
30.5,6.42,
31.5,6.54,
32.5,6.19,
33.5,6.16,
34.5,6.26,
35.5,6.0,
36.6,6.65,
37.6,6.04,
38.6,6.09,
39.6,6.09,
40.6,6.09,
41.6,6.09,
42.7,6.1,
43.7,6.1,
44.7,6.09,
45.7,6.09,
46.7,6.09,
47.7,6.08,
48.7,6.09,
49.8,6.08,
50.8,6.09,
51.8,6.09,
52.8,6.05,
53.8,6.05,
54.8,6.05,
55.8,6.05,
56.9,6.06,
57.9,6.06,
58.9,6.06,
59.9,6.06,
60.9,6.06,
61.9,6.06,
62.9,6.06,
64.0,6.06,
65.0,5.63,
66.0,5.34,
67.0,5.34,
68.0,5.34,
69.0,5.34,
70.0,5.34,
71.1,5.34,
72.1,5.34,
73.1,5.34,
74.1,7.09,
75.1,5.38,
76.1,5.65,
77.1,5.66,
78.2,5.66,
79.2,5.66,
80.2,5.66,
81.2,5.66,
82.2,5.66,
83.2,5.66,
84.2,5.66,
85.3,5.66,
86.3,5.66,
87.3,5.66,
88.3,5.66,
89.3,5.66,
90.3,5.66,
91.3,5.66,
92.3,5.66,
93.3,5.66,
94.4,5.66,
95.4,5.66,
96.4,5.66,
97.4,5.66,
98.4,5.66,
99.4,7.31,
100.5,5.73,
101.5,5.91,
102.5,6.03,
103.5,5.98,
104.5,5.77,
105.5,5.77,
106.5,5.94,
107.6,5.84,
108.6,5.84,
109.6,5.84,
110.6,5.84,
111.6,5.84,
112.6,5.84,
113.6,5.86,
114.7,5.93,
115.7,6.92,
116.7,6.87,
117.7,6.87,
