# total_ram_gb=31.9
t,ram_gb,vram_gb
0.0,4.28,
1.0,4.28,
2.0,4.28,
3.0,4.28,
4.1,4.28,
5.1,0.96,
6.1,1.27,
7.1,1.35,
8.1,1.59,
9.1,1.67,
10.1,1.72,
11.2,1.73,
12.2,2.15,
13.2,2.65,
14.2,2.59,
15.2,2.59,
16.2,2.59,
17.2,2.37,
18.3,2.59,
19.3,2.59,
20.3,2.59,
21.3,2.02,
22.3,2.09,
23.3,2.1,
24.4,2.07,
25.4,2.07,
26.4,2.07,
27.4,2.09,
28.4,3.74,
29.4,2.65,
30.4,2.88,
31.5,2.88,
32.5,2.88,
33.5,2.88,
34.5,2.88,
35.5,2.88,
36.5,3.04,
37.5,3.0,
38.5,2.96,
39.6,3.04,
40.6,3.04,
41.6,3.1,
42.6,3.1,
43.6,3.11,
44.6,3.13,
45.7,3.13,
46.7,3.13,
47.7,3.13,
48.7,3.14,
49.7,3.22,
50.7,3.29,
51.7,3.08,
52.7,3.08,
53.7,3.08,
